PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,deck,num,side
0001_01,Europa,False,TRAPPIST-1e,39.0,False,False,False,False,False,False,False,B,0.0,P
0002_01,Earth,False,TRAPPIST-1e,24.0,False,False,False,False,False,False,True,F,0.0,S
0003_01,Europa,False,TRAPPIST-1e,58.0,True,True,True,True,True,True,False,A,0.0,S
0003_02,Europa,False,TRAPPIST-1e,33.0,False,False,False,False,False,False,False,A,0.0,S
0004_01,Earth,False,TRAPPIST-1e,16.0,False,False,False,False,False,False,True,F,1.0,S
0005_01,Earth,False,PSO J318.5-22,44.0,False,False,False,False,False,False,True,F,0.0,P
0006_01,Earth,False,TRAPPIST-1e,26.0,False,False,False,False,False,False,True,F,2.0,S
0006_02,Earth,True,TRAPPIST-1e,28.0,False,False,False,False,False,False,True,G,0.0,S
0007_01,Earth,False,TRAPPIST-1e,35.0,False,False,False,False,False,False,True,F,3.0,S
0008_01,Europa,True,55 Cancri e,14.0,False,False,False,False,False,False,True,B,1.0,P
0008_02,Europa,True,TRAPPIST-1e,34.0,False,False,False,False,False,False,True,B,1.0,P
0008_03,Europa,False,55 Cancri e,45.0,False,False,False,False,False,False,True,B,1.0,P
0009_01,Mars,False,TRAPPIST-1e,32.0,False,False,False,False,False,False,True,F,1.0,P
0010_01,Earth,False,TRAPPIST-1e,48.0,False,False,False,False,False,False,False,G,1.0,S
0011_01,Earth,False,TRAPPIST-1e,28.0,False,False,False,False,False,False,True,F,2.0,P
0012_01,Earth,False,TRAPPIST-1e,31.0,False,False,False,False,False,False,False,F,427.0,S
0014_01,Mars,False,55 Cancri e,27.0,False,False,False,False,False,False,False,F,3.0,P
0015_01,Earth,False,55 Cancri e,24.0,False,False,False,False,False,False,False,F,4.0,P
0016_01,Mars,True,TRAPPIST-1e,45.0,False,False,False,False,False,False,True,F,5.0,P
0017_01,Earth,False,TRAPPIST-1e,0.0,False,False,False,False,False,False,True,G,0.0,P
0017_02,Earth,False,55 Cancri e,14.0,False,False,False,False,False,False,False,F,6.0,P
0020_01,Earth,True,TRAPPIST-1e,1.0,False,False,False,False,False,False,False,E,0.0,S
0020_02,Earth,True,55 Cancri e,49.0,False,False,False,False,False,False,False,E,0.0,S
0020_03,Earth,True,55 Cancri e,29.0,False,False,False,False,False,False,False,E,0.0,S
0020_04,Earth,False,TRAPPIST-1e,10.0,False,False,False,False,False,False,True,E,0.0,S
0020_05,Earth,True,PSO J318.5-22,1.0,False,False,False,False,False,False,False,E,0.0,S
0020_06,Earth,False,TRAPPIST-1e,7.0,False,False,False,False,False,False,False,E,0.0,S
0022_01,Mars,False,TRAPPIST-1e,21.0,False,False,False,False,False,False,False,D,0.0,P
0024_01,Europa,True,TRAPPIST-1e,62.0,False,False,False,False,False,False,True,C,2.0,S
0025_01,Earth,False,TRAPPIST-1e,15.0,False,False,False,False,False,False,False,F,6.0,S
0026_01,Europa,False,55 Cancri e,34.0,False,False,False,False,False,False,False,C,0.0,P
0028_01,Mars,False,TRAPPIST-1e,43.0,False,False,False,False,False,False,False,F,8.0,P
0030_01,Earth,False,TRAPPIST-1e,32.0,False,False,False,False,False,False,False,G,4.0,S
0031_01,Mars,False,TRAPPIST-1e,47.0,False,False,False,False,False,False,True,F,9.0,P
0031_02,Mars,False,TRAPPIST-1e,2.0,False,False,False,False,False,False,True,F,9.0,P
0031_03,Mars,False,TRAPPIST-1e,20.0,False,False,False,False,False,False,True,F,9.0,P
0034_01,Europa,True,55 Cancri e,28.0,False,False,False,False,False,False,True,D,1.0,S
0035_01,Mars,False,55 Cancri e,23.0,False,False,False,False,False,False,False,D,1.0,P
0036_01,Earth,False,55 Cancri e,15.0,False,False,False,False,False,False,False,F,8.0,S
0038_01,Earth,False,55 Cancri e,20.0,False,False,False,False,False,False,False,F,10.0,S
0039_01,Earth,True,55 Cancri e,30.0,False,False,False,False,False,False,False,G,1.0,P
0041_01,Earth,True,TRAPPIST-1e,17.0,False,False,False,False,False,False,True,G,2.0,P
0043_01,Europa,False,TRAPPIST-1e,45.0,False,False,False,False,False,False,False,B,3.0,P
0044_01,Earth,True,TRAPPIST-1e,55.0,False,False,False,False,False,False,False,G,3.0,P
0044_02,Earth,True,55 Cancri e,4.0,False,False,False,False,False,False,True,G,3.0,P
0044_03,Earth,True,PSO J318.5-22,21.0,False,False,False,False,False,False,True,G,3.0,P
0045_01,Mars,False,TRAPPIST-1e,21.0,False,False,False,False,False,False,False,F,10.0,P
0045_02,Mars,True,TRAPPIST-1e,19.0,False,False,False,False,False,False,True,F,10.0,P
0050_01,Earth,False,55 Cancri e,35.0,False,False,False,False,False,False,False,E,1.0,S
0051_01,Earth,False,TRAPPIST-1e,56.0,False,False,False,False,False,False,False,E,2.0,S
0052_01,Earth,False,TRAPPIST-1e,27.0,False,False,False,False,False,False,False,G,6.0,S
0053_01,Earth,False,TRAPPIST-1e,25.0,False,False,False,False,False,False,True,F,11.0,S
0056_01,Europa,False,TRAPPIST-1e,2.0,False,False,False,False,False,False,True,A,1.0,S
0056_02,Europa,True,TRAPPIST-1e,38.0,False,False,False,False,False,False,True,A,1.0,S
0056_03,Europa,False,TRAPPIST-1e,27.0,False,False,False,False,False,False,True,A,1.0,S
0058_01,Earth,True,PSO J318.5-22,36.0,False,False,False,False,False,False,False,G,7.0,S
0061_01,Earth,False,TRAPPIST-1e,22.0,False,False,False,False,False,False,False,F,12.0,S
0062_01,Earth,False,TRAPPIST-1e,62.0,False,False,False,False,False,False,False,F,13.0,S
0064_01,Mars,True,TRAPPIST-1e,15.0,False,False,False,False,False,False,True,F,14.0,S
0064_02,Earth,True,TRAPPIST-1e,33.0,False,False,False,False,False,False,True,E,3.0,S
0066_01,Earth,False,TRAPPIST-1e,62.0,False,False,False,False,False,False,False,G,6.0,P
0067_01,Earth,True,PSO J318.5-22,0.0,False,False,False,False,False,False,True,G,10.0,S
0067_02,Earth,False,TRAPPIST-1e,18.0,False,False,False,False,False,False,True,G,10.0,S
0067_03,Earth,False,55 Cancri e,21.0,False,False,False,False,False,False,False,F,15.0,S
0068_01,Mars,False,TRAPPIST-1e,27.0,False,False,False,False,False,False,False,E,4.0,S
0069_01,Earth,False,TRAPPIST-1e,42.0,False,False,False,False,False,False,True,F,16.0,S
0070_01,Earth,False,TRAPPIST-1e,19.0,False,False,False,False,False,False,False,F,13.0,P
0071_01,Earth,False,TRAPPIST-1e,17.0,False,False,False,False,False,False,False,F,14.0,P
0072_01,Earth,False,TRAPPIST-1e,14.0,False,False,False,False,False,False,False,F,17.0,S
0073_01,Mars,False,PSO J318.5-22,37.0,False,False,False,False,False,False,False,D,3.0,P
0074_01,Europa,False,TRAPPIST-1e,42.0,False,False,False,False,False,False,True,C,3.0,S
0076_01,Mars,False,TRAPPIST-1e,27.0,False,False,False,False,False,False,True,F,18.0,S
0077_01,Mars,False,TRAPPIST-1e,28.0,False,False,False,False,False,False,True,F,15.0,P
0078_01,Europa,False,TRAPPIST-1e,38.0,False,False,False,False,False,False,False,C,4.0,S
0081_01,Earth,True,TRAPPIST-1e,13.0,False,False,False,False,False,False,False,G,13.0,S
0082_01,Mars,False,TRAPPIST-1e,42.0,False,False,False,False,False,False,False,F,16.0,P
0082_02,Mars,True,TRAPPIST-1e,2.0,False,False,False,False,False,False,True,F,16.0,P
0082_03,Mars,False,TRAPPIST-1e,8.0,False,False,False,False,False,False,True,F,16.0,P
0084_01,Earth,False,TRAPPIST-1e,24.0,False,False,False,False,False,False,True,G,14.0,S
0085_01,Europa,True,TRAPPIST-1e,40.0,False,False,False,False,False,False,True,C,5.0,S
0086_01,Earth,False,TRAPPIST-1e,43.0,False,False,False,False,False,False,False,F,17.0,P
0088_01,Mars,True,PSO J318.5-22,45.0,False,False,False,False,False,False,True,E,5.0,S
0090_01,Earth,True,TRAPPIST-1e,35.0,False,False,False,False,False,False,True,G,15.0,S
0091_01,Earth,True,TRAPPIST-1e,26.0,False,False,False,False,False,False,True,G,16.0,S
0091_02,Earth,False,TRAPPIST-1e,27.0,False,False,False,False,False,False,False,F,20.0,S
0092_01,Earth,False,TRAPPIST-1e,19.0,False,False,False,False,False,False,False,G,9.0,P
0092_02,Earth,True,TRAPPIST-1e,0.0,False,False,False,False,False,False,True,G,9.0,P
0092_03,Earth,True,TRAPPIST-1e,3.0,False,False,False,False,False,False,True,G,9.0,P
0097_01,Europa,False,TRAPPIST-1e,54.0,False,False,False,False,False,False,False,A,2.0,S
0098_01,Earth,False,TRAPPIST-1e,26.0,False,False,False,False,False,False,False,G,11.0,P
0098_02,Earth,False,TRAPPIST-1e,26.0,False,False,False,False,False,False,True,G,11.0,P
0099_01,Earth,False,PSO J318.5-22,23.0,False,False,False,False,False,False,False,F,19.0,P
0099_02,Earth,False,TRAPPIST-1e,2.0,False,False,False,False,False,False,True,G,12.0,P
0101_01,Mars,True,TRAPPIST-1e,31.0,False,False,False,False,False,False,True,F,427.0,S
0102_01,Earth,False,TRAPPIST-1e,18.0,False,False,False,False,False,False,False,F,23.0,S
0103_01,Earth,False,TRAPPIST-1e,24.0,False,False,False,False,False,False,True,F,24.0,S
0103_02,Earth,True,55 Cancri e,9.0,False,False,False,False,False,False,True,G,18.0,S
0103_03,Earth,True,TRAPPIST-1e,6.0,False,False,False,False,False,False,False,G,18.0,S
0105_01,Earth,False,TRAPPIST-1e,27.0,False,False,False,False,False,False,False,F,21.0,P
0107_01,Mars,False,TRAPPIST-1e,21.0,False,False,False,False,False,False,False,D,2.0,S
0108_01,Earth,True,TRAPPIST-1e,23.0,False,False,False,False,False,False,False,G,19.0,S
0108_02,Earth,False,TRAPPIST-1e,31.0,False,False,False,False,False,False,False,G,19.0,S
0108_03,Earth,False,TRAPPIST-1e,0.0,False,False,False,False,False,False,True,G,19.0,S
0110_01,Europa,False,TRAPPIST-1e,32.0,False,False,False,False,False,False,False,F,427.0,S
0110_02,Europa,False,TRAPPIST-1e,40.0,False,False,False,False,False,False,False,B,5.0,P
0110_03,Europa,False,TRAPPIST-1e,42.0,False,False,False,False,False,False,True,B,5.0,P
0110_04,Europa,True,TRAPPIST-1e,28.0,False,False,False,False,False,False,True,B,5.0,P
0111_01,Europa,True,TRAPPIST-1e,29.0,False,False,False,False,False,False,True,E,6.0,S
0112_01,Europa,False,55 Cancri e,48.0,True,True,True,True,True,True,True,B,1.0,S
0113_01,Earth,False,TRAPPIST-1e,64.0,False,False,False,False,False,False,True,F,23.0,P
0114_01,Earth,False,TRAPPIST-1e,27.0,False,False,False,False,False,False,False,G,20.0,S
0115_01,Mars,False,TRAPPIST-1e,26.0,False,False,False,False,False,False,True,F,24.0,P
0116_01,Europa,False,TRAPPIST-1e,33.0,False,False,False,False,False,False,True,D,4.0,P
0119_01,Earth,False,TRAPPIST-1e,39.0,False,False,False,False,False,False,False,A,0.0,P
0119_02,Europa,True,TRAPPIST-1e,13.0,False,False,False,False,False,False,True,A,0.0,P
0120_01,Mars,True,TRAPPIST-1e,24.0,False,False,False,False,False,False,True,F,25.0,P
0122_01,Earth,False,TRAPPIST-1e,29.0,False,False,False,False,False,False,False,G,21.0,S
0123_01,Earth,False,TRAPPIST-1e,18.0,False,False,False,False,False,False,False,F,27.0,P
0126_01,Mars,True,TRAPPIST-1e,67.0,False,False,False,False,False,False,True,F,27.0,S
0127_01,Mars,False,TRAPPIST-1e,35.0,False,False,False,False,False,False,False,E,7.0,S
0128_01,Mars,False,TRAPPIST-1e,61.0,True,True,True,True,True,True,False,D,3.0,S
0128_02,Mars,False,TRAPPIST-1e,45.0,False,False,False,False,False,False,False,E,8.0,S
0129_01,Earth,True,PSO J318.5-22,22.0,False,False,False,False,False,False,True,G,22.0,S
0133_01,Mars,True,TRAPPIST-1e,19.0,False,False,False,False,False,False,True,F,29.0,S
0133_02,Mars,False,TRAPPIST-1e,36.0,False,False,False,False,False,False,False,D,5.0,S
0134_01,Earth,False,TRAPPIST-1e,19.0,False,False,False,False,False,False,True,G,17.0,P
0136_01,Earth,False,PSO J318.5-22,47.0,False,False,False,False,False,False,False,G,23.0,S
0138_01,Earth,True,TRAPPIST-1e,13.0,False,False,False,False,False,False,True,G,18.0,P
0138_02,Earth,False,TRAPPIST-1e,34.0,False,False,False,False,False,False,False,E,5.0,P
0139_01,Europa,True,55 Cancri e,35.0,False,False,False,False,False,False,True,C,6.0,S
0140_01,Earth,True,TRAPPIST-1e,24.0,False,False,False,False,False,False,True,G,19.0,P
0140_02,Earth,False,TRAPPIST-1e,26.0,False,False,False,False,False,False,False,F,29.0,P
0141_01,Mars,False,TRAPPIST-1e,31.0,False,False,False,False,False,False,False,F,30.0,P
0144_01,Earth,False,TRAPPIST-1e,20.0,False,False,False,False,False,False,True,F,31.0,S
0146_01,Earth,False,TRAPPIST-1e,56.0,False,False,False,False,False,False,False,G,25.0,S
0147_01,Earth,True,TRAPPIST-1e,50.0,False,False,False,False,False,False,True,G,26.0,S
0148_01,Mars,False,TRAPPIST-1e,42.0,False,False,False,False,False,False,False,F,31.0,P
0149_01,Earth,True,55 Cancri e,27.0,False,False,False,False,False,False,True,G,27.0,S
0151_01,Earth,True,55 Cancri e,38.0,False,False,False,False,False,False,False,G,20.0,P
0152_01,Earth,False,TRAPPIST-1e,41.0,False,False,False,False,False,False,False,F,32.0,P
0160_01,Earth,False,TRAPPIST-1e,22.0,False,False,False,False,False,False,False,G,22.0,P
0163_01,Europa,True,TRAPPIST-1e,26.0,False,False,False,False,False,False,True,B,8.0,P
0163_02,Europa,True,TRAPPIST-1e,17.0,False,False,False,False,False,False,True,B,8.0,P
0164_01,Earth,False,TRAPPIST-1e,57.0,False,False,False,False,False,False,True,G,28.0,S
0164_02,Earth,True,PSO J318.5-22,17.0,False,False,False,False,False,False,False,G,28.0,S
0165_01,Mars,True,TRAPPIST-1e,35.0,False,False,False,False,False,False,True,F,37.0,P
0167_01,Mars,True,TRAPPIST-1e,13.0,False,False,False,False,False,False,True,F,35.0,S
0167_02,Mars,False,TRAPPIST-1e,27.0,False,False,False,False,False,False,False,F,35.0,S
0169_01,Earth,True,TRAPPIST-1e,31.0,False,False,False,False,False,False,False,G,23.0,P
0170_01,Earth,False,TRAPPIST-1e,24.0,False,False,False,False,False,False,False,E,10.0,S
0171_01,Earth,True,PSO J318.5-22,19.0,False,False,False,False,False,False,True,G,30.0,S
0172_01,Earth,True,TRAPPIST-1e,32.0,False,False,False,False,False,False,True,G,24.0,P
0173_01,Earth,False,TRAPPIST-1e,58.0,False,False,False,False,False,False,True,E,11.0,S
0174_01,Earth,False,55 Cancri e,21.0,False,False,False,False,False,False,False,F,38.0,P
0177_01,Europa,False,TRAPPIST-1e,38.0,False,False,False,False,False,False,False,B,2.0,S
0178_01,Mars,False,TRAPPIST-1e,38.0,False,False,False,False,False,False,False,D,6.0,S
0179_01,Earth,False,TRAPPIST-1e,19.0,False,False,False,False,False,False,True,G,26.0,P
0179_02,Earth,False,TRAPPIST-1e,0.0,False,False,False,False,False,False,False,G,26.0,P
0179_03,Earth,False,TRAPPIST-1e,3.0,False,False,False,False,False,False,True,G,26.0,P
0181_01,Earth,False,TRAPPIST-1e,20.0,False,False,False,False,False,False,False,G,27.0,P
0182_01,Europa,True,TRAPPIST-1e,24.0,False,False,False,False,False,False,True,C,3.0,P
0183_01,Earth,False,TRAPPIST-1e,37.0,False,False,False,False,False,False,True,F,36.0,S
0186_01,Earth,False,TRAPPIST-1e,25.0,False,False,False,False,False,False,False,G,28.0,P
0188_01,Earth,True,TRAPPIST-1e,56.0,False,False,False,False,False,False,True,G,31.0,S
0189_01,Earth,False,55 Cancri e,49.0,False,False,False,False,False,False,False,E,8.0,P
0190_01,Earth,True,55 Cancri e,11.0,False,False,False,False,False,False,False,G,32.0,S
0192_01,Earth,True,TRAPPIST-1e,1.0,False,False,False,False,False,False,True,G,29.0,P
0192_02,Earth,False,TRAPPIST-1e,8.0,False,False,False,False,False,False,False,G,29.0,P
0192_03,Earth,False,TRAPPIST-1e,39.0,False,False,False,False,False,False,False,G,29.0,P
0193_01,Mars,True,TRAPPIST-1e,2.0,False,False,False,False,False,False,True,F,41.0,P
0193_02,Mars,False,TRAPPIST-1e,23.0,False,False,False,False,False,False,False,F,41.0,P
0193_03,Mars,False,TRAPPIST-1e,0.0,False,False,False,False,False,False,True,F,41.0,P
0195_01,Mars,False,TRAPPIST-1e,39.0,False,False,False,False,False,False,True,F,42.0,P
0196_01,Mars,False,PSO J318.5-22,25.0,False,False,False,False,False,False,False,D,5.0,P
0197_01,Europa,False,TRAPPIST-1e,36.0,False,False,False,False,False,False,False,C,5.0,P
0198_01,Earth,False,PSO J318.5-22,52.0,False,False,False,False,False,False,True,G,30.0,P
0199_01,Earth,True,TRAPPIST-1e,18.0,False,False,False,False,False,False,False,G,33.0,S
0200_01,Earth,True,TRAPPIST-1e,15.0,False,False,False,False,False,False,True,G,31.0,P
0201_01,Europa,True,TRAPPIST-1e,35.0,False,False,False,False,False,False,True,B,3.0,S
0201_02,Europa,True,TRAPPIST-1e,47.0,False,False,False,False,False,False,True,B,3.0,S
0202_01,Europa,True,55 Cancri e,45.0,False,False,False,False,False,False,True,B,9.0,P
0202_02,Europa,False,55 Cancri e,27.0,False,False,False,False,False,False,True,A,2.0,P
0203_01,Europa,True,TRAPPIST-1e,51.0,False,False,False,False,False,False,True,C,8.0,S
0205_01,Earth,False,TRAPPIST-1e,29.0,False,False,False,False,False,False,False,G,34.0,S
0206_01,Europa,False,55 Cancri e,27.0,False,False,False,False,False,False,True,C,9.0,S
0207_01,Earth,True,PSO J318.5-22,19.0,False,False,False,False,False,False,False,G,32.0,P
0210_01,Earth,True,55 Cancri e,24.0,False,False,False,False,False,False,True,D,6.0,P
0211_01,Mars,False,TRAPPIST-1e,29.0,False,False,False,False,False,False,True,F,44.0,P
0211_02,Mars,True,TRAPPIST-1e,11.0,False,False,False,False,False,False,True,F,44.0,P
0211_03,Mars,False,TRAPPIST-1e,17.0,False,False,False,False,False,False,False,F,44.0,P
0212_01,Earth,False,TRAPPIST-1e,13.0,False,False,False,False,False,False,False,E,9.0,P
0212_02,Earth,False,TRAPPIST-1e,35.0,False,False,False,False,False,False,False,F,45.0,P
0213_01,Earth,False,TRAPPIST-1e,21.0,False,False,False,False,False,False,False,F,46.0,P
0216_01,Earth,False,55 Cancri e,21.0,False,False,False,False,False,False,False,F,40.0,S
0217_01,Earth,False,TRAPPIST-1e,38.0,False,False,False,False,False,False,False,F,47.0,P
0219_01,Earth,True,TRAPPIST-1e,19.0,False,False,False,False,False,False,True,G,36.0,P
0220_01,Earth,True,TRAPPIST-1e,2.0,False,False,False,False,False,False,True,G,37.0,P
0220_02,Earth,False,TRAPPIST-1e,0.0,False,False,False,False,False,False,True,G,37.0,P
