PassengerId,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,num,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_True,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,VIP_True,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,deck_T,side_S
0001_01,0.49367088607594933,False,False,False,False,False,False,0.0,True,False,False,False,True,False,True,False,False,False,False,False,False,False
0002_01,0.3037974683544304,False,False,False,False,False,True,0.0,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0003_01,0.7341772151898734,True,True,True,True,True,False,0.0,True,False,False,False,True,True,False,False,False,False,False,False,False,True
0003_02,0.4177215189873418,False,False,False,False,False,False,0.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
0004_01,0.20253164556962025,False,False,False,False,False,True,0.0005279831045406547,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0005_01,0.5569620253164557,False,False,False,False,False,True,0.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0006_01,0.3291139240506329,False,False,False,False,False,True,0.0010559662090813093,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0006_02,0.35443037974683544,False,False,False,False,False,True,0.0,False,False,True,False,True,False,False,False,False,False,False,True,False,True
0007_01,0.4430379746835443,False,False,False,False,False,True,0.001583949313621964,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0008_01,0.17721518987341772,False,False,False,False,False,True,0.0005279831045406547,True,False,True,False,False,False,True,False,False,False,False,False,False,False
0008_02,0.43037974683544306,False,False,False,False,False,True,0.0005279831045406547,True,False,True,False,True,False,True,False,False,False,False,False,False,False
0008_03,0.569620253164557,False,False,False,False,False,True,0.0005279831045406547,True,False,False,False,False,False,True,False,False,False,False,False,False,False
0009_01,0.4050632911392405,False,False,False,False,False,True,0.0005279831045406547,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0010_01,0.6075949367088608,False,False,False,False,False,False,0.0005279831045406547,False,False,False,False,True,False,False,False,False,False,False,True,False,True
0011_01,0.35443037974683544,False,False,False,False,False,True,0.0010559662090813093,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0012_01,0.3924050632911392,False,False,False,False,False,False,0.22544878563885953,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0014_01,0.34177215189873417,False,False,False,False,False,False,0.001583949313621964,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0015_01,0.3037974683544304,False,False,False,False,False,False,0.0021119324181626186,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0016_01,0.569620253164557,False,False,False,False,False,True,0.0026399155227032735,False,True,True,False,True,False,False,False,False,False,True,False,False,False
0017_01,0.0,False,False,False,False,False,True,0.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0017_02,0.17721518987341772,False,False,False,False,False,False,0.003167898627243928,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0020_01,0.012658227848101266,False,False,False,False,False,False,0.0,False,False,True,False,True,False,False,False,False,True,False,False,False,True
0020_02,0.620253164556962,False,False,False,False,False,False,0.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0020_03,0.3670886075949367,False,False,False,False,False,False,0.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0020_04,0.12658227848101267,False,False,False,False,False,True,0.0,False,False,False,False,True,False,False,False,False,True,False,False,False,True
0020_05,0.012658227848101266,False,False,False,False,False,False,0.0,False,False,True,True,False,False,False,False,False,True,False,False,False,True
0020_06,0.08860759493670886,False,False,False,False,False,False,0.0,False,False,False,False,True,False,False,False,False,True,False,False,False,True
0022_01,0.26582278481012656,False,False,False,False,False,False,0.0,False,True,False,False,True,False,False,False,True,False,False,False,False,False
0024_01,0.7848101265822784,False,False,False,False,False,True,0.0010559662090813093,True,False,True,False,True,False,False,True,False,False,False,False,False,True
0025_01,0.18987341772151897,False,False,False,False,False,False,0.003167898627243928,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0026_01,0.43037974683544306,False,False,False,False,False,False,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0028_01,0.5443037974683544,False,False,False,False,False,False,0.004223864836325237,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0030_01,0.4050632911392405,False,False,False,False,False,False,0.0021119324181626186,False,False,False,False,True,False,False,False,False,False,False,True,False,True
0031_01,0.5949367088607594,False,False,False,False,False,True,0.004751847940865892,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0031_02,0.02531645569620253,False,False,False,False,False,True,0.004751847940865892,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0031_03,0.25316455696202533,False,False,False,False,False,True,0.004751847940865892,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0034_01,0.35443037974683544,False,False,False,False,False,True,0.0005279831045406547,True,False,True,False,False,False,False,False,True,False,False,False,False,True
0035_01,0.2911392405063291,False,False,False,False,False,False,0.0005279831045406547,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0036_01,0.18987341772151897,False,False,False,False,False,False,0.004223864836325237,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0038_01,0.25316455696202533,False,False,False,False,False,False,0.005279831045406547,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0039_01,0.37974683544303794,False,False,False,False,False,False,0.0005279831045406547,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0041_01,0.21518987341772153,False,False,False,False,False,True,0.0010559662090813093,False,False,True,False,True,False,False,False,False,False,False,True,False,False
0043_01,0.569620253164557,False,False,False,False,False,False,0.001583949313621964,True,False,False,False,True,False,True,False,False,False,False,False,False,False
0044_01,0.6962025316455696,False,False,False,False,False,False,0.001583949313621964,False,False,True,False,True,False,False,False,False,False,False,True,False,False
0044_02,0.05063291139240506,False,False,False,False,False,True,0.001583949313621964,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0044_03,0.26582278481012656,False,False,False,False,False,True,0.001583949313621964,False,False,True,True,False,False,False,False,False,False,False,True,False,False
0045_01,0.26582278481012656,False,False,False,False,False,False,0.005279831045406547,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0045_02,0.24050632911392406,False,False,False,False,False,True,0.005279831045406547,False,True,True,False,True,False,False,False,False,False,True,False,False,False
0050_01,0.4430379746835443,False,False,False,False,False,False,0.0005279831045406547,False,False,False,False,False,False,False,False,False,True,False,False,False,True
0051_01,0.7088607594936709,False,False,False,False,False,False,0.0010559662090813093,False,False,False,False,True,False,False,False,False,True,False,False,False,True
0052_01,0.34177215189873417,False,False,False,False,False,False,0.003167898627243928,False,False,False,False,True,False,False,False,False,False,False,True,False,True
0053_01,0.31645569620253167,False,False,False,False,False,True,0.005807814149947201,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0056_01,0.02531645569620253,False,False,False,False,False,True,0.0005279831045406547,True,False,False,False,True,False,False,False,False,False,False,False,False,True
0056_02,0.4810126582278481,False,False,False,False,False,True,0.0005279831045406547,True,False,True,False,True,False,False,False,False,False,False,False,False,True
0056_03,0.34177215189873417,False,False,False,False,False,True,0.0005279831045406547,True,False,False,False,True,False,False,False,False,False,False,False,False,True
0058_01,0.45569620253164556,False,False,False,False,False,False,0.0036958817317845824,False,False,True,True,False,False,False,False,False,False,False,True,False,True
